date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:39	133/133	---M-Z	200	added ('OK')	text/plain	date:Fri,%2027%20Aug%202021%2007:59:39%20GMT	https://www.sellmyhousenowusa.com/robots.txt		(from )
12:59:40	83605/83605	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Aug%202021%2007:59:39%20GMT	https://www.sellmyhousenowusa.com/	C:/Users/Zain%20Basharat/Desktop/Payoffer/www.sellmyhousenowusa.com/index.html	(from )
12:59:40	100877/100877	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2027%20Aug%202021%2007:59:40%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Zain%20Basharat/Desktop/Payoffer/connect.facebook.net/en_US/fbevents.js	(from https://www.sellmyhousenowusa.com/)
12:59:41	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2000:32:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Zain%20Basharat/Desktop/Payoffer/www.google-analytics.com/analytics.js	(from https://www.sellmyhousenowusa.com/)
12:59:41	150/150	---M--	403	error ('Forbidden')	text/html	date:Fri,%2027%20Aug%202021%2007:59:42%20GMT	https://www.sellmyhousenowusa.com/app/themes/carrot/dist/	C:/Users/Zain%20Basharat/Desktop/Payoffer/www.sellmyhousenowusa.com/app/themes/carrot/dist/index.html	(from https://www.sellmyhousenowusa.com/)
12:59:43	363430/363430	---MCZ	200	added ('OK')	text/css	etag:W/%22ab68e5d4b30121c423e17923579822b1%22	https://cdn.carrot.com/artifacts/app/themes/carrot/dist/styles/main.b1f1936fc1e6cad13a6ef5ccc7d8a2b1.css	C:/Users/Zain%20Basharat/Desktop/Payoffer/cdn.carrot.com/artifacts/app/themes/carrot/dist/styles/main.b1f1936fc1e6cad13a6ef5ccc7d8a2b1.css	(from https://www.sellmyhousenowusa.com/)
12:59:44	16899/16899	---MCZ	200	added ('OK')	text/css	etag:W/%221cd359c503644ca527c3e6d406b76235%22	https://cdn.carrot.com/artifacts/app/themes/carrot-01/dist/styles/main-01.cffbb8fecfd280627fb729b48f2a5999.css	C:/Users/Zain%20Basharat/Desktop/Payoffer/cdn.carrot.com/artifacts/app/themes/carrot-01/dist/styles/main-01.cffbb8fecfd280627fb729b48f2a5999.css	(from https://www.sellmyhousenowusa.com/)
12:59:44	3417/3417	---M--	200	added ('OK')	image/png	etag:%22fdd629ea57ab9676f1906228b7d0ca79%22	https://cdn.carrot.com/uploads/sites/21832/2018/04/cropped-4-60x60.png	C:/Users/Zain%20Basharat/Desktop/Payoffer/cdn.carrot.com/uploads/sites/21832/2018/04/cropped-4-60x60.png	(from https://www.sellmyhousenowusa.com/)
12:59:45	38127/38127	---M--	200	added ('OK')	image/png	etag:%223e1ae5545ea84e1ef7ec2291151b6de1%22	https://cdn.carrot.com/uploads/sites/21832/2018/04/cropped-4-300x300.png	C:/Users/Zain%20Basharat/Desktop/Payoffer/cdn.carrot.com/uploads/sites/21832/2018/04/cropped-4-300x300.png	(from https://www.sellmyhousenowusa.com/)
12:59:45	52509/52509	---M--	200	added ('OK')	image/jpeg	etag:%22b4d838b16c1c7b6ab246acd130f190b5%22	https://cdn.carrot.com/uploads/hero-bg-default-small.jpg	C:/Users/Zain%20Basharat/Desktop/Payoffer/cdn.carrot.com/uploads/hero-bg-default-small.jpg	(from https://www.sellmyhousenowusa.com/)
